상권_코드_명,서비스_업종_코드_명,rank_상권별
동묘시장(동묘벼룩시장),가전제품,1.0
동묘앞역 2번,PC방,1.0
동묘앞역 3번,노래방,1.0
동묘앞역(동묘),PC방,1.0
동문시장,신발,1.0
동부시장,섬유제품,1.0
동북프라자,PC방,1.0
동서시장,당구장,1.0
동성타워프라자,네일숍,1.0
"동원전통종합시장(동원시장, 동원전통시장 상점가)",PC방,1.0
동의보감타워,PC방,1.0
동의초등학교,문구,1.0
동일여자고등학교,노래방,1.0
동작구자원봉사센터,고시원,1.0
동진시장,분식전문점,1.0
동평화시장,슈퍼마켓,1.0
동화동 골목형상점가,PC방,1.0
두산초등학교,가구,1.0
둔촌2동주민센터,골프연습장,1.0
둔촌고등학교(둔촌중학교),문구,1.0
둔촌동역 1번(한산중학교),PC방,1.0
둔촌동역 3번(성내3동주민센터),네일숍,1.0
둔촌동역 4번,PC방,1.0
둔촌역,PC방,1.0
둔촌역전통시장,노래방,1.0
둔촌푸르지오아파트,골프연습장,1.0
등나무근린공원,가구,1.0
등마루시장,인테리어,1.0
등촌1동주민센터,PC방,1.0
등촌3동주민센터,PC방,1.0
등촌역,PC방,1.0
등촌역 1번,네일숍,1.0
등촌역 4번,네일숍,1.0
등촌역 7번,미용실,1.0
디지털단지오거리,노래방,1.0
떡전교사거리,가전제품수리,1.0
뚝도시장,노래방,1.0
뚝섬역,가구,1.0
뚝섬역교차로,분식전문점,1.0
뚝섬역상점가,골프연습장,1.0
뚝섬유원지역 1번,문구,1.0
뜸부기어린이공원,PC방,1.0
러스크서울병원,골프연습장,1.0
로데오거리상점가,PC방,1.0
롯데백화점(시청광장 지하쇼핑센터),가방,1.0
르네상스호텔사거리,가방,1.0
리움미술관,분식전문점,1.0
마곡역(마곡),반찬가게,1.0
마들역,PC방,1.0
마장역 2번,PC방,1.0
마장역 3번,노래방,1.0
마장지하차도,가전제품수리,1.0
마장축산물시장,가방,1.0
마전교지하쇼핑센터(구 한일상가),가방,1.0
마천1치안센터,가전제품,1.0
마천공원,가전제품수리,1.0
마천시장,문구,1.0
마천역(마천초등학교),가구,1.0
마천중앙시장,PC방,1.0
마포FM,당구장,1.0
마포경찰서,문구,1.0
마포구청역 1번,당구장,1.0
마포구청역 4번,PC방,1.0
마포구청역 7번,PC방,1.0
마포농수산물시장,미곡판매,1.0
마포시장,노래방,1.0
마포역,PC방,1.0
마포역 4번,슈퍼마켓,1.0
만리시장,당구장,1.0
만리재,노래방,1.0
만양로상점가,고시원,1.0
말미고개,가전제품수리,1.0
망리단길,PC방,1.0
망우3동주민센터,미용실,1.0
망우본동주민센터,PC방,1.0
망우역 1번,가전제품,1.0
망우역 2번,가전제품수리,1.0
망원나들목체육관,미용실,1.0
망원시장,노래방,1.0
망원역,PC방,1.0
망원역 1번,가전제품수리,1.0
망원월드컵시장,가구,1.0
매봉역,PC방,1.0
매봉역 1번,반찬가게,1.0
먹골역 1번,PC방,1.0
먹골역 5번,PC방,1.0
먹골파출소,미용실,1.0
메가박스 상봉,PC방,1.0
메디힐병원,PC방,1.0
면곡골목시장,미곡판매,1.0
면동초등학교,PC방,1.0
면목2동체육관,가전제품수리,1.0
면목5동주민센터,PC방,1.0
면목골목시장(면목시장),PC방,1.0
면목동우체국,PC방,1.0
면목역 1번,미곡판매,1.0
면목역 2번,PC방,1.0
면목역 3번,네일숍,1.0
명동 남대문 북창동 다동 무교동 관광특구,PC방,1.0
명동(명동거리),PC방,1.0
명동역(명동재미로),가방,1.0
명동지하쇼핑센터(소공동지하쇼핑센터),커피-음료,1.0
명일역,PC방,1.0
명일역 1번,PC방,1.0
명일전통시장,문구,1.0
명지대학교,PC방,1.0
명지대학교교회,PC방,1.0
명지전문대,자동차수리,1.0
모래내시장(서중시장),노래방,1.0
모래내우체국,PC방,1.0
목2동시장,가전제품수리,1.0
목4동주민센터,미용실,1.0
목동깨비시장(목3동시장),PC방,1.0
목동로데오거리,골프연습장,1.0
목동문화체육센터,미곡판매,1.0
목동보건지소,PC방,1.0
목동사거리,PC방,1.0
목동센트럴아이파크앞,노래방,1.0
목동신시가지,PC방,1.0
목동역 5번,문구,1.0
목동역 8번출구,PC방,1.0
목사랑시장(목4동시장),문구,1.0
몽촌토성역,골프연습장,1.0
묘곡초등학교(고덕아이파크아파트),PC방,1.0
무너미어린이공원,미용실,1.0
무학봉상점가,가전제품수리,1.0
묵1동도깨비시장,노래방,1.0
문래동남성맨션,한식음식점,1.0
문래동사거리,문구,1.0
문래동주민센터,가구,1.0
문래소공원,당구장,1.0
문래역 3번,당구장,1.0
문래역(문래로데오거리),골프연습장,1.0
문래예술촌(문래창작촌),PC방,1.0
문래중학교,미용실,1.0
문성초등학교,PC방,1.0
문이교,미용실,1.0
문정동 로데오거리 상점가(문정동 로데오거리),PC방,1.0
문정동성당,골프연습장,1.0
문정역,가구,1.0
문정역 1번,PC방,1.0
문정역 2번,골프연습장,1.0
문정초등학교,가전제품수리,1.0
문현중학교(장지역 1번),PC방,1.0
미근동,노래방,1.0
미림여고,미용실,1.0
미성동 도깨비시장 골목형상점가,PC방,1.0
미성동주민센터,네일숍,1.0
미성초등학교,PC방,1.0
미아사거리,가전제품,1.0
미아사거리역,가방,1.0
미아사거리역 3번,가구,1.0
미아역,PC방,1.0
미아역 5번,PC방,1.0
미아역 8번,네일숍,1.0
미아초등학교,당구장,1.0
바우뫼공원,분식전문점,1.0
박미시장(기능상실),슈퍼마켓,1.0
반포4동주민센터(몽마르뜨공원),미용실,1.0
발바닥공원,PC방,1.0
발산역 5번,가구,1.0
발산역(마곡),가구,1.0
밤나무골시장,미용실,1.0
방배노인종합복지관(이수중학교),네일숍,1.0
방배동가구거리(사당동가구거리),가구,1.0
방배동사이길,가구,1.0
방배동카페골목,PC방,1.0
방배배수지체육공원,자동차미용,1.0
방배아이파크아파트,가구,1.0
방배역,PC방,1.0
방배역 1번,미용실,1.0
방배역 2번(백석예술대학교),서적,1.0
방배역 3번,가구,1.0
방배초등학교,가구,1.0
방산종합시장(방산시장),가구,1.0
방신전통시장,PC방,1.0
방아다리근린공원(횃불트리니티신학대학원대학교),중식음식점,1.0
방이동고분군(방산고등학교),골프연습장,1.0
방이동먹자골목,PC방,1.0
방이시장,PC방,1.0
방이역,PC방,1.0
방이역 1번,PC방,1.0
방이역 2번,골프연습장,1.0
방이역 4번,고시원,1.0
방천골목시장,PC방,1.0
방학1동주민센터,PC방,1.0
방학동도깨비시장,네일숍,1.0
방학역 1번,PC방,1.0
방학역 2번,노래방,1.0
방학중학교,가전제품수리,1.0
방학초등학교,골프연습장,1.0
방현초등학교(방배119안전센터),골프연습장,1.0
방화역 1번,PC방,1.0
방화역 2번,PC방,1.0
방화역 3번,가구,1.0
방화초등학교,골프연습장,1.0
배꽃어린이공원,미용실,1.0
배문고등학교,PC방,1.0
배화여자대학교(박노수미술관),가방,1.0
백련산해모로아파트,PC방,1.0
백련시장,미곡판매,1.0
백산초등학교,네일숍,1.0
백석중학교,가전제품수리,1.0
백운시장,미용실,1.0
백학시장,PC방,1.0
뱅뱅사거리,가전제품수리,1.0
버티고개,슈퍼마켓,1.0
번동주공2단지,네일숍,1.0
벌말어린이공원,노래방,1.0
법제교육센터(버들어린이공원),노래방,1.0
베르사이유1아파트,스포츠 강습,1.0
보광시장,미용실,1.0
보라매공원,PC방,1.0
보라매동주민센터(당곡고등학교),미용실,1.0
보라매역,골프연습장,1.0
보라매역 2번,네일숍,1.0
