,이름,행정동,점수,별점,좋아요
25688, 고덕푸드 고덕,고덕2동,31,0.0,0
25689, 콤마스 스페셜티 커피 고덕,고덕2동,31,0.0,0
25690, 후라이드참잘하는집 상일동,고덕2동,31,0.0,0
25691, 벌떼분식 강동구,고덕2동,31,0.0,0
25692, 돈먹소 상일동,고덕2동,31,0.0,0
25693, 아달콤해 고덕,고덕2동,31,0.0,0
25694, 가비 고덕,고덕2동,31,0.0,0
25695, 수라부대찌개 강동구,고덕2동,31,0.0,0
25696, 포레포레 고덕,고덕2동,31,0.0,0
25697, 본가집왕족발보쌈 강동구,고덕2동,31,0.0,0
25698, 일미손칼국수 고덕,고덕2동,31,0.0,0
25699, 스시정원 상일동역,고덕2동,31,3.0,0
25700, 호호치킨 고덕,고덕2동,31,0.0,0
25701, 아남이모네김밥 고덕,고덕2동,31,0.0,0
25702, 굽네치킨 고덕,고덕2동,31,0.0,0
25703, 본죽 강동구,고덕2동,31,0.0,0
25704, 스시봄날 고덕,고덕2동,31,0.0,0
25705, 파니스 고덕,고덕2동,31,0.0,0
25706, 배부르고행복한집 강동구,고덕2동,31,0.0,0
25707, 고향식당 강동구,고덕2동,31,0.0,0
25708, 남도1번지 강동구,고덕2동,31,0.0,0
25709, 마이리틀 강동구,고덕2동,31,0.0,0
25710, 이화마라 강동본점,고덕2동,31,0.0,0
25711, 뻘숯불갈비곱창전골 고덕,고덕2동,31,0.0,0
25712, 다샤브 고덕점,고덕2동,31,0.0,0
25713, 행복회요 고덕,고덕2동,31,0.0,0
25714, 향원 강동구,고덕2동,31,0.0,0
25715, 홍프라이 강동구,고덕2동,31,0.0,0
25716, 싸리울 강동구,고덕2동,31,0.0,0
25717, 커피볶는집 고덕,고덕2동,31,0.0,0
25718, 이디야커피 고덕그라시움후문점,고덕2동,31,0.0,0
25719, 독도얼큰이 칼국수&냉면 강동구,고덕2동,31,0.0,0
25720, ZONE즉석떡볶이 강동구,고덕2동,31,0.0,0
25721, 한식부페미도리 강동구,고덕2동,31,0.0,0
25722, 갓츠킹 고덕그라시움점,고덕2동,31,0.0,0
25723, 커피클래식 고덕역,고덕2동,31,0.0,0
25724, 맘스터치 고덕점,고덕2동,31,0.0,0
25725, 고덕명가돈까스 강동구,고덕2동,31,0.0,0
25726, 투다리 한우물점,고덕2동,31,0.0,0
25727, 생각나니 고덕,고덕2동,31,0.0,0
25728, 응암감자탕 강동구,고덕2동,31,0.0,0
25729, 명동가츠 고덕,고덕2동,31,0.0,0
25730, 설빙 상일점,고덕2동,31,0.0,0
25731, 페리카나 강동구,고덕2동,31,0.0,0
25732, 장충동왕족발보쌈 강동구,고덕2동,31,0.0,0
25733, 시나본 상일동역점,고덕2동,15,0.0,0
25734, 정가짬뽕 강동구,고덕2동,15,0.0,0
25735, 교촌치킨 고덕1호점(서울),고덕2동,15,0.0,0
25736, 모임 상일동,고덕2동,15,0.0,0
25737,. 풀럽잇 샐러드 강동구,고덕2동,15,0.0,0
25738,초롱이고모네부대찌개 강동구,암사1동,56,4.3,17
25739,우리동네막국수국밥 암사역,암사1동,53,4.5,4
25740,카페공공장소 암사,암사1동,53,5.0,4
25741,돈삼이네 암사점,암사1동,52,5.0,3
25742,암사민물장어 암사본점,암사1동,52,5.0,8
25743,하에레츠 암사동,암사1동,52,4.3,23
25744,야한곱창 암사점,암사1동,50,5.0,0
25745,지리산 왕재봉 흑돼지 암사역,암사1동,49,4.5,43
25746,청진생등심 암사동,암사1동,48,4.1,8
25747, 황실짜장 암사역,암사1동,47,4.8,3
25748, 이토야 암사,암사1동,46,5.0,1
25749, 이태리부대찌개 암사,암사1동,46,5.0,9
25750, 제주항 강동구,암사1동,46,3.7,2
25751, 빨간쭈꾸미 암사,암사1동,46,4.5,4
25752, 바른맥주 암사점,암사1동,46,5.0,0
25753, 스시우 암사역,암사1동,45,4.5,3
25754, 잇츠 암사동,암사1동,45,4.8,16
25755, 종로곱창 암사,암사1동,45,5.0,0
25756, 미쿡미트마켓 암사역점,암사1동,44,5.0,0
25757, 가또마들렌 암사동,암사1동,44,4.5,5
25758, 동대문엽기떡볶이 암사점,암사1동,44,4.6,0
25759, 암사초밥 강동구,암사1동,44,4.6,6
25760, 선남sea 암사동,암사1동,44,5.0,3
25761, 명가통닭 암사동,암사1동,43,5.0,0
25762, 배떡 암사점,암사1동,43,4.5,1
25763, 풍년상회 암사,암사1동,43,4.5,2
25764, 개수리막국수 암사점,암사1동,43,5.0,0
25765, 홍코너 암사점,암사1동,43,4.4,4
25766, 털보수산 암사동숙성회 암사동,암사1동,43,5.0,0
25767, 평상시 암사동,암사1동,43,4.6,10
25768, 날아라닭도리탕 암사역,암사1동,43,4.6,5
25769, 오븐베이크 암사,암사1동,43,5.0,2
25770, 드 딜라이트 강동구,암사1동,43,5.0,1
25771, 두콩 암사,암사1동,43,5.0,0
25772, 카페 뉴 암사동,암사1동,42,4.5,0
25773, 암사돈 암사동,암사1동,42,5.0,1
25774, 홍루이젠 암사점,암사1동,42,5.0,0
25775, 60계 암사,암사1동,42,5.0,0
25776, 싸다김밥 암사역점,암사1동,42,4.2,0
25777, 반계락 암사동,암사1동,42,4.5,0
25778, 메가커피 암사점,암사1동,41,5.0,0
25779, 공차 암사역점 암사동,암사1동,41,5.0,0
25780, 샌드투고 암사동,암사1동,41,5.0,0
25781, 롯데리아 암사역점,암사1동,41,5.0,0
25782, 핫떡 암사,암사1동,41,4.0,1
25783, 니뽕내뽕 암사점,암사1동,40,4.5,9
25784, 메가커피 암사역점,암사1동,40,5.0,0
25785, 사바사바 치킨&비어 암사역점,암사1동,40,5.0,0
25786, 시오미스시 암사동,암사1동,40,5.0,6
25787, BHC치킨 암사점,암사1동,40,5.0,0
25788, 아구타운 암사동,암사1동,39,5.0,2
25789, 동리회집 명일역,암사1동,39,5.0,2
25790, 스타벅스 DT 암사,암사1동,39,5.0,0
25791, 주양두리돈까스 암사동,암사1동,39,3.9,0
25792, 장홍규중화요리 암사동,암사1동,39,5.0,1
25793, 김선장횟집 암사동,암사1동,39,5.0,0
25794, 민영활어공장 암사시장점,암사1동,39,5.0,0
25795, 암사마늘떡볶이앤닭강정 암사,암사1동,39,4.0,2
25796, 투다리 암사역,암사1동,39,5.0,0
25797, 배스킨라빈스 암사역,암사1동,39,4.3,0
25798, 조게찜터 암사,암사1동,39,5.0,11
25799, 전주종가콩나물국밥 콩심 암사역점,암사1동,39,4.3,1
25800, 카페히어 암사동,암사1동,39,4.0,2
25801, navy 암사,암사1동,38,4.0,1
25802, 은솔카페&샵 강동구,암사1동,38,5.0,1
25803, 주양두리돈까스 암사동,암사1동,38,5.0,2
25804, 풍촌코다리네 본점,암사1동,38,4.2,4
25805, 루이 암사동,암사1동,38,3.6,0
25806, 카페 이유 암사동,암사1동,38,4.0,11
25807, 투다리 암사,암사1동,38,5.0,0
25808, 빛나는바다 암사동,암사1동,38,4.1,3
25809, 연안식당 암사역점,암사1동,37,4.0,0
25810, 이차돌 암사점 암사역,암사1동,37,4.5,0
25811, 족발야시장 암사,암사1동,37,4.4,0
25812, 암사소곱창 암사역,암사1동,37,4.5,0
25813, 지호한방삼계탕 암사점,암사1동,37,5.0,3
25814, 암사고바우감자탕 암사역,암사1동,37,4.3,0
25815, 피자스쿨 암사동,암사1동,37,5.0,0
25816, 체리쿠키 암사역,암사1동,37,4.0,0
25817, 바오공쌀국수 암사동,암사1동,37,4.0,2
25818, 주거니밥거니 암사동,암사1동,37,4.0,0
25819, 피자헛 암사,암사1동,37,5.0,0
25820, 육대쌈 암사점,암사1동,37,5.0,0
25821, 목포쭈꾸미삼겹살 강동구,암사1동,37,5.0,0
25822, 김밥천국 암사역점,암사1동,37,5.0,0
25823, 명랑핫도그 암사점,암사1동,36,4.5,0
25824, Bun99 암사역,암사1동,36,4.0,0
25825, 카페 오늘 암사동,암사1동,36,3.6,0
25826, 감성커피 암사역점,암사1동,36,4.1,0
25827, 피자스쿨 암사,암사1동,36,4.5,0
25828, 카페 놀이터 암사동,암사1동,36,5.0,0
25829, 암사원조소곱창 강동구,암사1동,36,5.0,0
25830, 설해곱창 암사,암사1동,36,5.0,0
25831, 방이샤브샤브칼국수 암사점,암사1동,36,4.0,1
25832, 해안반점 암사동,암사1동,36,4.0,1
25833, 하루일닭 암사동,암사1동,36,4.1,6
25834, 황가네곱창 암사동,암사1동,36,5.0,0
25835, 개나리아구찜 강동점,암사1동,36,3.8,0
25836, 꼼과자점 암사,암사1동,36,5.0,0
25837,. 굽네치킨 암사,암사1동,36,4.4,0
25838,초롱이고모네부대찌개 강동구,암사2동,56,4.3,17
25839,우리동네막국수국밥 암사역,암사2동,53,4.5,4
25840,카페공공장소 암사,암사2동,53,5.0,4
25841,돈삼이네 암사점,암사2동,52,5.0,3
25842,암사민물장어 암사본점,암사2동,52,5.0,8
25843,하에레츠 암사동,암사2동,52,4.3,23
25844,야한곱창 암사점,암사2동,50,5.0,0
25845,지리산 왕재봉 흑돼지 암사역,암사2동,49,4.5,43
25846,청진생등심 암사동,암사2동,48,4.1,8
25847, 황실짜장 암사역,암사2동,47,4.8,3
25848, 이토야 암사,암사2동,46,5.0,1
25849, 이태리부대찌개 암사,암사2동,46,5.0,9
25850, 제주항 강동구,암사2동,46,3.7,2
25851, 빨간쭈꾸미 암사,암사2동,46,4.5,4
25852, 바른맥주 암사점,암사2동,46,5.0,0
25853, 스시우 암사역,암사2동,45,4.5,3
25854, 잇츠 암사동,암사2동,45,4.8,16
25855, 종로곱창 암사,암사2동,45,5.0,0
25856, 미쿡미트마켓 암사역점,암사2동,44,5.0,0
25857, 가또마들렌 암사동,암사2동,44,4.5,5
25858, 동대문엽기떡볶이 암사점,암사2동,44,4.6,0
25859, 암사초밥 강동구,암사2동,44,4.6,6
25860, 선남sea 암사동,암사2동,44,5.0,3
25861, 명가통닭 암사동,암사2동,43,5.0,0
25862, 배떡 암사점,암사2동,43,4.5,1
25863, 풍년상회 암사,암사2동,43,4.5,2
25864, 개수리막국수 암사점,암사2동,43,5.0,0
25865, 홍코너 암사점,암사2동,43,4.4,4
25866, 털보수산 암사동숙성회 암사동,암사2동,43,5.0,0
25867, 평상시 암사동,암사2동,43,4.6,10
25868, 날아라닭도리탕 암사역,암사2동,43,4.6,5
25869, 오븐베이크 암사,암사2동,43,5.0,2
25870, 드 딜라이트 강동구,암사2동,43,5.0,1
25871, 두콩 암사,암사2동,43,5.0,0
25872, 카페 뉴 암사동,암사2동,42,4.5,0
25873, 암사돈 암사동,암사2동,42,5.0,1
25874, 홍루이젠 암사점,암사2동,42,5.0,0
25875, 60계 암사,암사2동,42,5.0,0
25876, 싸다김밥 암사역점,암사2동,42,4.2,0
25877, 반계락 암사동,암사2동,42,4.5,0
25878, 메가커피 암사점,암사2동,41,5.0,0
25879, 공차 암사역점 암사동,암사2동,41,5.0,0
25880, 샌드투고 암사동,암사2동,41,5.0,0
25881, 롯데리아 암사역점,암사2동,41,5.0,0
25882, 핫떡 암사,암사2동,41,4.0,1
25883, 니뽕내뽕 암사점,암사2동,40,4.5,9
25884, 메가커피 암사역점,암사2동,40,5.0,0
25885, 사바사바 치킨&비어 암사역점,암사2동,40,5.0,0
25886, 시오미스시 암사동,암사2동,40,5.0,6
25887, BHC치킨 암사점,암사2동,40,5.0,0
25888, 아구타운 암사동,암사2동,39,5.0,2
25889, 동리회집 명일역,암사2동,39,5.0,2
25890, 스타벅스 DT 암사,암사2동,39,5.0,0
25891, 주양두리돈까스 암사동,암사2동,39,3.9,0
25892, 장홍규중화요리 암사동,암사2동,39,5.0,1
25893, 김선장횟집 암사동,암사2동,39,5.0,0
25894, 민영활어공장 암사시장점,암사2동,39,5.0,0
25895, 암사마늘떡볶이앤닭강정 암사,암사2동,39,4.0,2
25896, 투다리 암사역,암사2동,39,5.0,0
25897, 배스킨라빈스 암사역,암사2동,39,4.3,0
25898, 조게찜터 암사,암사2동,39,5.0,11
25899, 전주종가콩나물국밥 콩심 암사역점,암사2동,39,4.3,1
25900, 카페히어 암사동,암사2동,39,4.0,2
25901, navy 암사,암사2동,38,4.0,1
25902, 은솔카페&샵 강동구,암사2동,38,5.0,1
25903, 주양두리돈까스 암사동,암사2동,38,5.0,2
25904, 풍촌코다리네 본점,암사2동,38,4.2,4
25905, 루이 암사동,암사2동,38,3.6,0
25906, 카페 이유 암사동,암사2동,38,4.0,11
25907, 투다리 암사,암사2동,38,5.0,0
25908, 빛나는바다 암사동,암사2동,38,4.1,3
25909, 연안식당 암사역점,암사2동,37,4.0,0
25910, 이차돌 암사점 암사역,암사2동,37,4.5,0
25911, 족발야시장 암사,암사2동,37,4.4,0
25912, 암사소곱창 암사역,암사2동,37,4.5,0
25913, 지호한방삼계탕 암사점,암사2동,37,5.0,3
25914, 암사고바우감자탕 암사역,암사2동,37,4.3,0
25915, 피자스쿨 암사동,암사2동,37,5.0,0
25916, 체리쿠키 암사역,암사2동,37,4.0,0
25917, 바오공쌀국수 암사동,암사2동,37,4.0,2
25918, 주거니밥거니 암사동,암사2동,37,4.0,0
25919, 피자헛 암사,암사2동,37,5.0,0
25920, 육대쌈 암사점,암사2동,37,5.0,0
25921, 목포쭈꾸미삼겹살 강동구,암사2동,37,5.0,0
25922, 김밥천국 암사역점,암사2동,37,5.0,0
25923, 명랑핫도그 암사점,암사2동,36,4.5,0
25924, Bun99 암사역,암사2동,36,4.0,0
25925, 카페 오늘 암사동,암사2동,36,3.6,0
25926, 감성커피 암사역점,암사2동,36,4.1,0
25927, 피자스쿨 암사,암사2동,36,4.5,0
25928, 카페 놀이터 암사동,암사2동,36,5.0,0
25929, 암사원조소곱창 강동구,암사2동,36,5.0,0
25930, 설해곱창 암사,암사2동,36,5.0,0
25931, 방이샤브샤브칼국수 암사점,암사2동,36,4.0,1
25932, 해안반점 암사동,암사2동,36,4.0,1
25933, 하루일닭 암사동,암사2동,36,4.1,6
25934, 황가네곱창 암사동,암사2동,36,5.0,0
25935, 개나리아구찜 강동점,암사2동,36,3.8,0
25936, 꼼과자점 암사,암사2동,36,5.0,0
25937,. 굽네치킨 암사,암사2동,36,4.4,0
25938,초롱이고모네부대찌개 강동구,암사3동,56,4.3,17
25939,우리동네막국수국밥 암사역,암사3동,53,4.5,4
25940,카페공공장소 암사,암사3동,53,5.0,4
25941,돈삼이네 암사점,암사3동,52,5.0,3
25942,암사민물장어 암사본점,암사3동,52,5.0,8
25943,하에레츠 암사동,암사3동,52,4.3,23
25944,야한곱창 암사점,암사3동,50,5.0,0
25945,지리산 왕재봉 흑돼지 암사역,암사3동,49,4.5,43
25946,청진생등심 암사동,암사3동,48,4.1,8
25947, 황실짜장 암사역,암사3동,47,4.8,3
25948, 이토야 암사,암사3동,46,5.0,1
25949, 이태리부대찌개 암사,암사3동,46,5.0,9
25950, 제주항 강동구,암사3동,46,3.7,2
25951, 빨간쭈꾸미 암사,암사3동,46,4.5,4
25952, 바른맥주 암사점,암사3동,46,5.0,0
25953, 스시우 암사역,암사3동,45,4.5,3
25954, 잇츠 암사동,암사3동,45,4.8,16
25955, 종로곱창 암사,암사3동,45,5.0,0
25956, 미쿡미트마켓 암사역점,암사3동,44,5.0,0
25957, 가또마들렌 암사동,암사3동,44,4.5,5
25958, 동대문엽기떡볶이 암사점,암사3동,44,4.6,0
25959, 암사초밥 강동구,암사3동,44,4.6,6
25960, 선남sea 암사동,암사3동,44,5.0,3
25961, 명가통닭 암사동,암사3동,43,5.0,0
25962, 배떡 암사점,암사3동,43,4.5,1
25963, 풍년상회 암사,암사3동,43,4.5,2
25964, 개수리막국수 암사점,암사3동,43,5.0,0
25965, 홍코너 암사점,암사3동,43,4.4,4
25966, 털보수산 암사동숙성회 암사동,암사3동,43,5.0,0
25967, 평상시 암사동,암사3동,43,4.6,10
25968, 날아라닭도리탕 암사역,암사3동,43,4.6,5
25969, 오븐베이크 암사,암사3동,43,5.0,2
25970, 드 딜라이트 강동구,암사3동,43,5.0,1
25971, 두콩 암사,암사3동,43,5.0,0
25972, 카페 뉴 암사동,암사3동,42,4.5,0
25973, 암사돈 암사동,암사3동,42,5.0,1
25974, 홍루이젠 암사점,암사3동,42,5.0,0
25975, 60계 암사,암사3동,42,5.0,0
25976, 싸다김밥 암사역점,암사3동,42,4.2,0
25977, 반계락 암사동,암사3동,42,4.5,0
25978, 메가커피 암사점,암사3동,41,5.0,0
25979, 공차 암사역점 암사동,암사3동,41,5.0,0
25980, 샌드투고 암사동,암사3동,41,5.0,0
25981, 롯데리아 암사역점,암사3동,41,5.0,0
25982, 핫떡 암사,암사3동,41,4.0,1
25983, 니뽕내뽕 암사점,암사3동,40,4.5,9
25984, 메가커피 암사역점,암사3동,40,5.0,0
25985, 사바사바 치킨&비어 암사역점,암사3동,40,5.0,0
25986, 시오미스시 암사동,암사3동,40,5.0,6
25987, BHC치킨 암사점,암사3동,40,5.0,0
25988, 아구타운 암사동,암사3동,39,5.0,2
25989, 동리회집 명일역,암사3동,39,5.0,2
25990, 스타벅스 DT 암사,암사3동,39,5.0,0
25991, 주양두리돈까스 암사동,암사3동,39,3.9,0
25992, 장홍규중화요리 암사동,암사3동,39,5.0,1
25993, 김선장횟집 암사동,암사3동,39,5.0,0
25994, 민영활어공장 암사시장점,암사3동,39,5.0,0
25995, 암사마늘떡볶이앤닭강정 암사,암사3동,39,4.0,2
25996, 투다리 암사역,암사3동,39,5.0,0
25997, 배스킨라빈스 암사역,암사3동,39,4.3,0
25998, 조게찜터 암사,암사3동,39,5.0,11
25999, 전주종가콩나물국밥 콩심 암사역점,암사3동,39,4.3,1
26000, 카페히어 암사동,암사3동,39,4.0,2
26001, navy 암사,암사3동,38,4.0,1
26002, 은솔카페&샵 강동구,암사3동,38,5.0,1
26003, 주양두리돈까스 암사동,암사3동,38,5.0,2
26004, 풍촌코다리네 본점,암사3동,38,4.2,4
26005, 루이 암사동,암사3동,38,3.6,0
26006, 카페 이유 암사동,암사3동,38,4.0,11
26007, 투다리 암사,암사3동,38,5.0,0
26008, 빛나는바다 암사동,암사3동,38,4.1,3
26009, 연안식당 암사역점,암사3동,37,4.0,0
26010, 이차돌 암사점 암사역,암사3동,37,4.5,0
26011, 족발야시장 암사,암사3동,37,4.4,0
26012, 암사소곱창 암사역,암사3동,37,4.5,0
26013, 지호한방삼계탕 암사점,암사3동,37,5.0,3
26014, 암사고바우감자탕 암사역,암사3동,37,4.3,0
26015, 피자스쿨 암사동,암사3동,37,5.0,0
26016, 체리쿠키 암사역,암사3동,37,4.0,0
26017, 바오공쌀국수 암사동,암사3동,37,4.0,2
26018, 주거니밥거니 암사동,암사3동,37,4.0,0
26019, 피자헛 암사,암사3동,37,5.0,0
26020, 육대쌈 암사점,암사3동,37,5.0,0
26021, 목포쭈꾸미삼겹살 강동구,암사3동,37,5.0,0
26022, 김밥천국 암사역점,암사3동,37,5.0,0
26023, 명랑핫도그 암사점,암사3동,36,4.5,0
26024, Bun99 암사역,암사3동,36,4.0,0
26025, 카페 오늘 암사동,암사3동,36,3.6,0
26026, 감성커피 암사역점,암사3동,36,4.1,0
26027, 피자스쿨 암사,암사3동,36,4.5,0
26028, 카페 놀이터 암사동,암사3동,36,5.0,0
26029, 암사원조소곱창 강동구,암사3동,36,5.0,0
26030, 설해곱창 암사,암사3동,36,5.0,0
26031, 방이샤브샤브칼국수 암사점,암사3동,36,4.0,1
26032, 해안반점 암사동,암사3동,36,4.0,1
26033, 하루일닭 암사동,암사3동,36,4.1,6
26034, 황가네곱창 암사동,암사3동,36,5.0,0
26035, 개나리아구찜 강동점,암사3동,36,3.8,0
26036, 꼼과자점 암사,암사3동,36,5.0,0
26037,. 굽네치킨 암사,암사3동,36,4.4,0
26038,고모네원조콩탕황태탕 성내동,천호1동,70,4.6,77
26039,풀팬 천호,천호1동,69,4.6,111
26040,대성반점 천호동,천호1동,67,4.8,31
26041,이한진 숙성회 천호,천호1동,66,4.9,49
26042,화진포막국수 강동구청점,천호1동,65,4.1,163
26043,풍년상회쪽갈비 천호,천호1동,65,4.0,76
26044,피콜로 성내동,천호1동,64,4.7,27
26045,평양만두집 성내동,천호1동,64,4.3,67
26046,커피 몽타주 성내동,천호1동,63,4.5,41
26047, 시집 그릴하우스 천호,천호1동,62,4.3,101
26048, 안녕식당 천호,천호1동,62,4.1,118
26049, 갓잇 성내동,천호1동,62,4.3,17
26050, 버섯잔치집 강동구청,천호1동,62,4.3,119
26051, 푸지미곱창 천호,천호1동,60,4.9,54
26052, 커피폴 굽은다리역,천호1동,60,4.8,4
26053, 족발선생 천호,천호1동,59,4.4,20
26054, 해중천 반점 천호,천호1동,58,4.5,56
26055, 최냉면 본점,천호1동,57,4.1,44
26056, BOON THE BURGER 강동역,천호1동,57,4.6,33
26057, 해왕조개전문 둔촌,천호1동,57,5.0,13
26058, 다람 성내동,천호1동,57,4.0,20
26059, 로니로티 천호점,천호1동,56,4.3,10
26060, 등갈비 달인 본점,천호1동,56,4.5,84
26061, 한양닭한마리 천호점,천호1동,56,4.8,5
26062, 씨푸드박스 천호,천호1동,56,5.0,52
26063, 라그릴리아 천호,천호1동,56,4.4,5
26064, 보타이 강동구청역,천호1동,56,4.3,36
26065, 강동 호치민 강동역,천호1동,55,4.2,21
26066, 열불날개 천호,천호1동,55,4.9,26
26067, 쭈꾸쭈꾸쭈꾸미 천호,천호1동,54,4.1,72
26068, 스시공간 천호,천호1동,54,4.8,2
26069, 맥도날드 굽은다리역DT,천호1동,54,4.2,1
26070, 맘스터치 강동구,천호1동,54,4.4,2
26071, 제주아줌마집 둔촌,천호1동,54,4.4,25
26072, 쭈꾸미도사 천호,천호1동,53,4.3,4
26073, 오두껍 천호,천호1동,53,4.4,2
26074, 스타벅스 강동구청DT점,천호1동,53,4.8,4
26075, 꿀꿀 진 순대 강동,천호1동,53,4.5,5
26076, 데카망 천호,천호1동,53,4.2,11
26077, 똥찌비 천호,천호1동,53,4.7,9
26078, 피에로커피 성내동,천호1동,53,4.4,41
26079, 브랜뉴 하이몬드 천호,천호1동,52,3.9,39
26080, 틈새라면 천호점,천호1동,52,4.3,9
26081, 오징어포차 천호동,천호1동,52,5.0,5
26082, 성내볼데기집 성내동,천호1동,52,4.7,25
26083, 천호누룽지통닭구이 성내점,천호1동,52,5.0,6
26084, 얌얌카츠 천호,천호1동,52,4.6,9
26085, 스시진 천호역,천호1동,52,4.5,13
26086, 스타벅스 천호로데오점,천호1동,52,4.2,4
26087, 램니쿠야 강동구,천호1동,52,5.0,2
26088, 쭉삼이 천호,천호1동,52,4.7,24
26089, 란짠타부리 성내동,천호1동,51,5.0,6
26090, 7번가피자 성내점,천호1동,51,5.0,3
26091, 피자보감 강동구,천호1동,51,5.0,2
26092, 비사벌전주콩나물국밥 성내점,천호1동,51,4.6,6
26093, 미드데이 썬 성내동,천호1동,51,4.1,9
26094, 세꼬시 길동,천호1동,51,4.8,8
26095, 셀프하우스 성내동,천호1동,51,3.8,108
26096, 스시 꽃피다 성내동,천호1동,51,4.4,5
26097, 블랑제리 천호,천호1동,51,4.2,125
26098, 썸이프 강동구,천호1동,51,5.0,2
26099, 도원 천호,천호1동,50,5.0,2
26100, 유타로 천호,천호1동,50,4.3,113
26101, 등촌샤브샤브칼국수 천호점,천호1동,50,4.6,1
26102, 긴자 성내동,천호1동,50,4.1,6
26103, 고추장구이 암사,천호1동,50,4.5,30
26104, 스타벅스 천호사거리점,천호1동,50,4.5,1
26105, 역전할머니맥주 천호점,천호1동,50,4.5,2
26106, 엄마손만두 천호동,천호1동,50,3.9,79
26107, 피카피오 강동역,천호1동,50,4.3,17
26108, 독도쭈꾸미 3호점,천호1동,50,4.1,64
26109, 와고참숯갈비 천호,천호1동,49,4.4,2
26110, 대팔이네 천호,천호1동,49,4.6,3
26111, 카페 온도 성내동,천호1동,49,5.0,3
26112, 인생극장쪽갈비 둔촌동역점,천호1동,49,5.0,0
26113, 송월냉면 천호동,천호1동,49,3.7,27
26114, 울림한우소머리곰탕 성내동,천호1동,49,5.0,3
26115, 차이나린찐 올림픽공원,천호1동,49,3.6,32
26116, 연풍민락 강동구,천호1동,49,4.6,6
26117, 풍년비빔국수 천호,천호1동,49,5.0,3
26118, 아키노유키 천호,천호1동,49,3.7,107
26119, 백년화편 강동구,천호1동,49,4.0,19
26120, 닭발부부 천호동,천호1동,48,4.8,4
26121, 분홍다이닝 천호,천호1동,48,3.9,56
26122, 청년다방 굽은다리역,천호1동,48,4.5,26
26123, 카페 노란 코끼리 천호,천호1동,48,4.3,0
26124, 팍스하우스 굽은다리역,천호1동,48,5.0,2
26125, 통로 성내동,천호1동,48,4.5,17
26126, 하다식당 강동구,천호1동,48,4.6,7
26127," 방콕, 그집 성내동",천호1동,48,5.0,2
26128, 천호곱창 굽은다리역,천호1동,48,4.7,9
26129, WAAAH 성내동,천호1동,48,5.0,2
26130, 구삼부대찌개 올림픽공원,천호1동,48,4.2,29
26131, 설빙 천호로데오점,천호1동,47,4.4,0
26132, 샤크로플 천호동,천호1동,47,5.0,1
26133, 푸른청목장 성내동,천호1동,47,5.0,0
26134, 어바웃타임 성내동,천호1동,47,4.5,1
26135, 월요일 천호,천호1동,47,5.0,1
26136, 미니회바 천호,천호1동,47,4.4,63
26137,. 불타는삼겹살 굽은다리역,천호1동,47,5.0,3
26138,고모네원조콩탕황태탕 성내동,천호2동,70,4.6,77
26139,풀팬 천호,천호2동,69,4.6,111
26140,대성반점 천호동,천호2동,67,4.8,31
26141,이한진 숙성회 천호,천호2동,66,4.9,49
26142,화진포막국수 강동구청점,천호2동,65,4.1,163
26143,풍년상회쪽갈비 천호,천호2동,65,4.0,76
26144,피콜로 성내동,천호2동,64,4.7,27
26145,평양만두집 성내동,천호2동,64,4.3,67
26146,커피 몽타주 성내동,천호2동,63,4.5,41
26147, 시집 그릴하우스 천호,천호2동,62,4.3,101
26148, 안녕식당 천호,천호2동,62,4.1,118
26149, 갓잇 성내동,천호2동,62,4.3,17
26150, 버섯잔치집 강동구청,천호2동,62,4.3,119
26151, 푸지미곱창 천호,천호2동,60,4.9,54
26152, 커피폴 굽은다리역,천호2동,60,4.8,4
26153, 족발선생 천호,천호2동,59,4.4,20
26154, 해중천 반점 천호,천호2동,58,4.5,56
26155, 최냉면 본점,천호2동,57,4.1,44
26156, BOON THE BURGER 강동역,천호2동,57,4.6,33
26157, 해왕조개전문 둔촌,천호2동,57,5.0,13
26158, 다람 성내동,천호2동,57,4.0,20
26159, 로니로티 천호점,천호2동,56,4.3,10
26160, 등갈비 달인 본점,천호2동,56,4.5,84
26161, 한양닭한마리 천호점,천호2동,56,4.8,5
26162, 씨푸드박스 천호,천호2동,56,5.0,52
26163, 라그릴리아 천호,천호2동,56,4.4,5
26164, 보타이 강동구청역,천호2동,56,4.3,36
26165, 강동 호치민 강동역,천호2동,55,4.2,21
26166, 열불날개 천호,천호2동,55,4.9,26
26167, 쭈꾸쭈꾸쭈꾸미 천호,천호2동,54,4.1,72
26168, 스시공간 천호,천호2동,54,4.8,2
26169, 맥도날드 굽은다리역DT,천호2동,54,4.2,1
26170, 맘스터치 강동구,천호2동,54,4.4,2
26171, 제주아줌마집 둔촌,천호2동,54,4.4,25
26172, 쭈꾸미도사 천호,천호2동,53,4.3,4
26173, 오두껍 천호,천호2동,53,4.4,2
26174, 스타벅스 강동구청DT점,천호2동,53,4.8,4
26175, 꿀꿀 진 순대 강동,천호2동,53,4.5,5
26176, 데카망 천호,천호2동,53,4.2,11
26177, 똥찌비 천호,천호2동,53,4.7,9
26178, 피에로커피 성내동,천호2동,53,4.4,41
26179, 브랜뉴 하이몬드 천호,천호2동,52,3.9,39
26180, 틈새라면 천호점,천호2동,52,4.3,9
26181, 오징어포차 천호동,천호2동,52,5.0,5
26182, 성내볼데기집 성내동,천호2동,52,4.7,25
