,place,rank,review_count,view_count
776,남영동,,7.0,6835.0
777,남영동,,11.0,7399.0
778,남영동,,8.0,4366.0
779,남영동,,1.0,123.0
780,남영동,,1.0,169.0
781,남영동,,16.0,12749.0
782,남영동,,7.0,10980.0
783,남영동,,5.0,1085.0
804,남영동,,6.0,3947.0
805,남영동,,2.0,2038.0
806,남영동,,1.0,4581.0
807,남영동,,6.0,4625.0
808,남영동,,4.0,5572.0
809,남영동,,4.0,1469.0
810,남영동,,0.0,1867.0
811,남영동,,8.0,4324.0
812,남영동,,4.0,5363.0
813,남영동,,3.0,871.0
814,남영동,,1.0,68.0
815,남영동,,1.0,44.0
816,남영동,,2.0,851.0
817,남영동,,3.0,3867.0
818,남영동,,5.0,3532.0
819,남영동,,3.0,3114.0
820,남영동,,3.0,2581.0
821,남영동,,3.0,123.0
822,남영동,,1.0,61.0
823,남영동,,5.0,1740.0
844,남영동,,3.0,1941.0
845,남영동,,1.0,2108.0
846,남영동,,1.0,133.0
847,남영동,,1.0,29.0
848,남영동,,3.0,1144.0
849,남영동,,2.0,981.0
850,남영동,,3.0,3198.0
851,남영동,,1.0,1754.0
852,남영동,,1.0,124.0
853,남영동,,0.0,17.0
854,남영동,,2.0,1563.0
855,남영동,,2.0,1074.0
856,남영동,,1.0,1576.0
857,남영동,,3.0,1451.0
858,남영동,,2.0,2290.0
859,남영동,,1.0,2903.0
860,남영동,,2.0,2028.0
861,남영동,,1.0,452.0
862,남영동,,1.0,373.0
863,남영동,,1.0,157.0
884,남영동,,1.0,141.0
885,남영동,,1.0,69.0
886,남영동,,0.0,1187.0
887,남영동,,0.0,165.0
888,남영동,,3.0,3047.0
889,남영동,,2.0,2499.0
890,남영동,,1.0,1460.0
891,남영동,,1.0,1143.0
892,남영동,,1.0,376.0
893,남영동,,1.0,347.0
894,남영동,,1.0,689.0
895,남영동,,1.0,383.0
896,남영동,,0.0,295.0
897,남영동,,0.0,192.0
898,남영동,,1.0,1642.0
899,남영동,,1.0,1144.0
900,남영동,,0.0,2192.0
901,남영동,,0.0,1866.0
902,남영동,,0.0,1690.0
903,남영동,,0.0,1538.0
924,남영동,,0.0,1500.0
925,남영동,,0.0,1427.0
926,남영동,,0.0,1346.0
927,남영동,,0.0,1161.0
928,남영동,,0.0,525.0
929,남영동,,0.0,357.0
930,남영동,,0.0,255.0
931,남영동,,0.0,249.0
932,남영동,,0.0,248.0
933,남영동,,0.0,188.0
934,남영동,,0.0,134.0
935,남영동,,0.0,109.0
936,남영동,,0.0,99.0
937,남영동,,0.0,76.0
938,남영동,,0.0,56.0
939,남영동,,0.0,45.0
940,남영동,,0.0,34.0
941,남영동,,0.0,22.0
942,남영동,,0.0,3.0
943,남영동,,0.0,3.0
964,문정동,4.3,6.0,2342.0
965,문정동,4.2,15.0,25465.0
966,문정동,4.2,16.0,12491.0
967,문정동,4.0,10.0,14078.0
968,문정동,3.9,9.0,15171.0
969,문정동,3.9,6.0,1192.0
970,문정동,3.8,10.0,10959.0
971,문정동,3.8,15.0,8854.0
972,문정동,3.7,37.0,61896.0
973,문정동,3.7,39.0,40602.0
974,문정동,3.7,14.0,13725.0
975,문정동,3.7,16.0,5363.0
976,문정동,3.7,12.0,15317.0
977,문정동,3.6,18.0,16467.0
978,문정동,3.5,35.0,56830.0
979,문정동,3.5,10.0,7146.0
980,문정동,3.5,11.0,10810.0
981,문정동,3.5,13.0,21392.0
982,문정동,3.4,8.0,3006.0
983,문정동,3.3,58.0,20602.0
1004,문정동,,5.0,15214.0
1005,문정동,,6.0,9562.0
1006,문정동,,8.0,25752.0
1007,문정동,,5.0,12216.0
1008,문정동,,8.0,11958.0
1009,문정동,,5.0,7153.0
1010,문정동,,2.0,984.0
1011,문정동,,13.0,15736.0
1012,문정동,,3.0,576.0
1013,문정동,,5.0,893.0
1014,문정동,,17.0,10771.0
1015,문정동,,5.0,6123.0
1016,문정동,,5.0,4927.0
1017,문정동,,8.0,8134.0
1018,문정동,,7.0,5293.0
1019,문정동,,7.0,9134.0
1020,문정동,,10.0,9356.0
1021,문정동,,8.0,8634.0
1022,문정동,,7.0,5829.0
1023,문정동,,4.0,9177.0
1044,문정동,,4.0,6205.0
1045,문정동,,6.0,6964.0
1046,문정동,,5.0,3044.0
1047,문정동,,9.0,10788.0
1048,문정동,,8.0,10708.0
1049,문정동,,8.0,6688.0
1050,문정동,,8.0,8377.0
1051,문정동,,8.0,4949.0
1052,문정동,,1.0,2063.0
1053,문정동,,6.0,5764.0
1054,문정동,,5.0,5067.0
1055,문정동,,2.0,1889.0
1056,문정동,,10.0,7264.0
1057,문정동,,9.0,13538.0
1058,문정동,,5.0,4373.0
1059,문정동,,3.0,2739.0
1060,문정동,,3.0,2475.0
1061,문정동,,1.0,226.0
1062,문정동,,5.0,6390.0
1063,문정동,,5.0,4177.0
1084,문정동,,3.0,3386.0
1085,문정동,,2.0,1464.0
1086,문정동,,2.0,772.0
1087,문정동,,2.0,117.0
1088,문정동,,10.0,5892.0
1089,문정동,,4.0,3712.0
1090,문정동,,2.0,2850.0
1091,문정동,,6.0,5336.0
1092,문정동,,5.0,4463.0
1093,문정동,,4.0,3881.0
1094,문정동,,4.0,1155.0
1095,문정동,,3.0,5837.0
1096,문정동,,3.0,54.0
1097,문정동,,2.0,3319.0
1098,문정동,,1.0,238.0
1099,문정동,,0.0,1762.0
1100,문정동,,7.0,10977.0
1101,문정동,,4.0,5080.0
1102,문정동,,4.0,3953.0
1103,문정동,,4.0,3656.0
1124,문정동,,3.0,2482.0
1125,문정동,,2.0,2214.0
1126,문정동,,2.0,1801.0
1127,문정동,,5.0,1499.0
1128,문정동,,4.0,712.0
1129,문정동,,3.0,462.0
1130,문정동,,2.0,512.0
1131,문정동,,1.0,3740.0
1132,문정동,,1.0,2306.0
1133,문정동,,1.0,1709.0
1134,문정동,,1.0,1362.0
1135,문정동,,1.0,113.0
1136,문정동,,4.0,4136.0
1137,문정동,,4.0,3288.0
1138,문정동,,5.0,3094.0
1139,문정동,,3.0,2583.0
1140,문정동,,2.0,1726.0
1141,문정동,,2.0,444.0
1142,문정동,,2.0,211.0
1143,문정동,,1.0,259.0
1164,문정동,,1.0,139.0
1165,문정동,,1.0,21.0
1166,문정동,,5.0,4247.0
1167,문정동,,4.0,4573.0
1168,문정동,,4.0,2056.0
1169,문정동,,3.0,2597.0
1170,문정동,,3.0,2586.0
1171,문정동,,3.0,1419.0
1172,문정동,,3.0,466.0
1173,문정동,,3.0,273.0
1174,문정동,,1.0,2128.0
1175,문정동,,1.0,1500.0
1176,문정동,,1.0,46.0
1177,문정동,,0.0,1681.0
1178,문정동,,6.0,8000.0
