place,rank,review_count,view_count
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,4.1,47,53881
합정동,4.1,29,63112
합정동,4.1,30,28005
합정동,4.1,8,5990
합정동,4.1,23,30289
합정동,4.1,28,31243
합정동,4.1,16,27547
합정동,4.1,10,5666
합정동,4.1,14,14754
합정동,4.1,12,8302
합정동,4.1,9,8198
합정동,4.1,4,1132
합정동,4.0,32,29963
합정동,4.0,22,31549
합정동,4.0,18,39028
합정동,4.0,17,8939
합정동,4.0,6,1304
합정동,4.0,24,73984
합정동,4.0,18,11094
합정동,4.0,6,4209
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,4.0,12,12083
합정동,4.0,9,3388
합정동,4.0,13,4562
합정동,4.0,7,3714
합정동,3.9,236,185216
합정동,3.9,174,58598
합정동,3.9,55,75615
합정동,3.9,57,45708
합정동,3.9,36,44991
합정동,3.9,36,31001
합정동,3.9,31,29677
합정동,3.9,27,54492
합정동,3.9,22,25311
합정동,3.9,12,6050
합정동,3.9,28,17697
합정동,3.9,13,7169
합정동,3.9,24,15855
합정동,3.9,12,15269
합정동,3.9,10,2046
합정동,3.9,11,8752
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,3.9,4,1092
합정동,3.8,81,36073
합정동,3.8,36,19834
합정동,3.8,36,14545
합정동,3.8,27,4678
합정동,3.8,41,24595
합정동,3.8,27,25741
합정동,3.8,15,9885
합정동,3.8,9,6193
합정동,3.8,10,7162
합정동,3.8,9,6927
합정동,3.7,91,53577
합정동,3.7,72,62078
합정동,3.7,30,27833
합정동,3.7,14,12663
합정동,3.7,19,8144
합정동,3.7,20,7827
합정동,3.7,22,49406
합정동,3.7,14,13983
합정동,3.7,19,9122
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
